Corpus,Type,Avg Word Length,Avg Sentence Length,TTR,MATTR,MTLD,Morpheme TTR,Avg Segs Per Word,Avg Forms Per Stem,Char Dist Entr,Word Dist Entr,Text Entr,Lex Entr,Rev Lex Entr
eo,con,5.175,18.909,10.708,0.692,67.482,0.075,1.859,3.506,4.164,10.923,4.435,6.189,6.919
nl,nat,5.419,18.194,8.559,0.694,74.165,0.125,1.809,3.044,4.117,10.593,4.389,6.379,6.814
is,nat,5.375,15.055,11.727,0.747,115.342,0.098,1.931,4.128,4.468,11.512,5.455,6.087,6.46
pl,nat,6.248,14.951,14.89,0.825,278.888,0.066,1.894,3.709,4.553,12.905,5.072,5.605,5.654
fr,nat,5.16,23.12,7.461,0.721,91.865,0.071,1.771,2.759,4.179,10.711,4.104,6.305,6.742
vo,con,5.072,11.266,2.455,0.622,39.447,0.153,1.567,1.938,4.256,7.666,1.281,8.627,8.958
af,nat,5.067,20.496,6.987,0.645,59.938,0.139,1.77,2.861,4.072,9.993,4.757,6.656,7.117
vi,nat,3.498,29.835,1.749,0.732,94.751,0.274,1.344,1.453,4.855,9.717,4.768,11.864,11.481
oc,nat,5.215,18.66,7.185,0.715,87.187,0.077,1.793,2.805,4.173,10.546,3.53,6.654,7.224
en,nat,5.087,21.301,6.079,0.697,77.659,0.1,1.661,2.36,4.167,10.673,4.771,7.097,7.5
it,nat,5.455,25.727,8.505,0.764,129.111,0.079,1.765,2.939,4.029,11.308,4.573,5.517,6.26
ia,con,5.05,19.547,6.88,0.607,49.015,0.089,1.75,2.715,4.032,10.005,3.886,6.476,7.048
sv,nat,5.597,17.322,11.031,0.756,124.469,0.095,1.957,4.074,4.294,11.488,4.83,6.215,6.596
lfn,con,4.221,19.532,5.063,0.601,40.079,0.098,1.688,2.448,3.912,9.316,4.471,7.839,8.47
da,nat,5.346,16.466,10.517,0.737,106.412,0.103,1.911,3.776,4.197,11.274,5.037,6.38,6.788
hu,nat,6.242,15.782,16.234,0.776,169.833,0.062,2.0,5.071,4.543,12.443,5.208,5.589,5.989
id,nat,6.173,18.164,5.782,0.699,74.365,0.13,1.584,2.048,4.072,11.142,3.982,7.296,7.466
tl,nat,5.119,21.102,7.593,0.611,44.385,0.118,1.717,2.563,3.895,9.991,4.374,6.755,6.964
tr,nat,6.63,14.458,14.097,0.828,290.829,0.068,1.843,3.932,4.386,13.151,4.729,5.055,5.484
io,con,4.594,14.484,3.433,0.557,34.395,0.13,1.645,2.208,4.077,8.055,1.266,7.489,8.305
es,nat,4.978,25.315,7.085,0.674,65.538,0.081,1.756,2.752,4.046,10.327,4.066,6.037,6.892
fi,nat,7.874,11.969,20.409,0.841,394.346,0.088,2.008,5.037,4.144,13.729,4.529,4.919,5.527
de,nat,6.206,16.907,12.128,0.771,139.978,0.09,1.981,4.356,4.23,11.601,4.53,5.268,5.683
avk,con,5.06,12.824,8.153,0.582,61.499,0.096,1.769,2.827,4.186,10.287,3.759,7.646,8.187
